predictor,dtype,asv_id,trophic,z_score,pi_lo_z,pi_hi_z,pred_label,dtype_label
secchi_depth,dna,ASV_005,phototroph,1.8020122318968486,-1.0080705249440847,2.3448138302456543,Secchi depth,rDNA
secchi_depth,rna,ASV_001,phototroph,2.290317383978476,-1.7503782725279367,1.3109478716434741,Secchi depth,rRNA
secchi_depth,rna,ASV_005,phototroph,1.0450170060569182,-1.7503782725279367,1.3109478716434741,Secchi depth,rRNA
secchi_depth,rna_dna,ASV_001,phototroph,0.08543278051920648,-1.2007495636397423,1.8287496801476673,Secchi depth,rRNA:rDNA
secchi_depth,rna_dna,ASV_005,phototroph,2.8012825441752414,-1.2007495636397423,1.8287496801476673,Secchi depth,rRNA:rDNA
dissolved_oxygen,dna,ASV_001,phototroph,5.063536022809863,-1.3230363778820686,2.071460078234951,Dissolved O₂,rDNA
dissolved_oxygen,dna,ASV_005,phototroph,10.457783769984541,-1.3230363778820686,2.071460078234951,Dissolved O₂,rDNA
dissolved_oxygen,rna,ASV_001,phototroph,-0.19051426431183574,-1.5527352541717228,1.6639239488513307,Dissolved O₂,rRNA
dissolved_oxygen,rna,ASV_005,phototroph,2.0130516604158277,-1.5527352541717228,1.6639239488513307,Dissolved O₂,rRNA
dissolved_oxygen,rna_dna,ASV_001,phototroph,2.84646627163966,-1.1878587972776353,2.279552736720862,Dissolved O₂,rRNA:rDNA
dissolved_oxygen,rna_dna,ASV_005,phototroph,3.0130690056635268,-1.1878587972776353,2.279552736720862,Dissolved O₂,rRNA:rDNA
water_temp,dna,ASV_001,phototroph,2.19713496490205,-1.4717561485045618,1.9878166073704844,Water temp,rDNA
water_temp,dna,ASV_005,phototroph,0.6313882471203062,-1.4717561485045618,1.9878166073704844,Water temp,rDNA
water_temp,rna,ASV_001,phototroph,-0.004849163842775517,-1.2638620019764557,1.7143381735194458,Water temp,rRNA
water_temp,rna,ASV_005,phototroph,-1.0415909522488582,-1.2638620019764557,1.7143381735194458,Water temp,rRNA
water_temp,rna_dna,ASV_001,phototroph,1.5211471947232074,-1.203593241308001,1.9961410479496535,Water temp,rRNA:rDNA
water_temp,rna_dna,ASV_005,phototroph,3.1050767943466178,-1.203593241308001,1.9961410479496535,Water temp,rRNA:rDNA
total_phosphorus,dna,ASV_001,phototroph,-0.7955077517009433,-0.9211575310170254,2.370207957730322,Total P,rDNA
total_phosphorus,dna,ASV_005,phototroph,3.2713897004131316,-0.9211575310170254,2.370207957730322,Total P,rDNA
total_phosphorus,rna,ASV_001,phototroph,-0.07406612047221023,-1.2961232076217237,1.8477119159543176,Total P,rRNA
total_phosphorus,rna,ASV_005,phototroph,0.22884955849817964,-1.2961232076217237,1.8477119159543176,Total P,rRNA
total_phosphorus,rna_dna,ASV_001,phototroph,-0.6733979744429396,-1.0409698941164136,1.9582668996074586,Total P,rRNA:rDNA
total_phosphorus,rna_dna,ASV_005,phototroph,0.9281574396008211,-1.0409698941164136,1.9582668996074586,Total P,rRNA:rDNA
