"asv_id","dev_expl_pct","AIC","n_k_fail","k_fail_terms","max_concurvity","concurvity_flag","conc_high_terms","n_near_zero_edf","near_zero_terms","any_flag"
"ASV_011",77.1,780.8,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",19,"s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(days):dtyperna; s(days):dtyperna_dna",TRUE
"ASV_012",72,1036.6,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",16,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(doc):dtypedna; s(doc):dtyperna; s(secchi_depth):dtypedna; s(ph):dtyperna; s(dissolved_oxygen):dtyperna",TRUE
"ASV_013",60.7,1138,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",19,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(doc):dtypedna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtyperna; s(days):dtypedna; s(days):dtyperna",TRUE
"ASV_014",78.5,570.6,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",18,"s(water_temp):dtypedna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtyperna_dna; s(total_nitrogen):dtyperna; s(doc):dtypedna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",TRUE
"ASV_015",83.5,1008.1,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",18,"s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(doc):dtypedna; s(doc):dtyperna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtyperna; s(days):dtyperna",TRUE
"ASV_016",68,775.8,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",23,"s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_phosphorus):dtyperna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(day_of_year):dtypedna; s(days):dtyperna",TRUE
"ASV_017",53.2,868,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",20,"s(water_temp):dtypedna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtyperna; s(dissolved_oxygen):dtypedna",TRUE
"ASV_018",83.4,831.6,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",15,"s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_phosphorus):dtyperna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna",TRUE
"ASV_019",83.4,767,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",15,"s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(salinity):dtypedna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(days):dtyperna",TRUE
"ASV_020",67.1,732.1,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",16,"s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna_dna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtyperna; s(dissolved_oxygen):dtypedna",TRUE
"ASV_021",62.7,753,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",20,"s(water_temp):dtypedna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtyperna; s(dissolved_oxygen):dtyperna; s(day_of_year):dtypedna; s(days):dtyperna",TRUE
